#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:85 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:19.40 tex:4719 mv:3798 misc:1475 imb:160 pmb:318 smb:1142 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:20.10 tex:11723 mv:7714 misc:1675 imb:405 pmb:420 smb:795 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:20.04 tex:23278 mv:10167 misc:1803 imb:631 pmb:497 smb:492 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:19.09 tex:9320 mv:5648 misc:1656 imb:232 pmb:436 smb:952 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:18.27 tex:2994 mv:2760 misc:1270 imb:135 pmb:192 smb:1293 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:17.75 tex:8644 mv:8793 misc:1731 imb:505 pmb:421 smb:694 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:29.03 aq:18.70 tex:3623 mv:3299 misc:1294 imb:96 pmb:263 smb:1261 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:18.00 tex:3843 mv:2948 misc:1433 imb:116 pmb:272 smb:1232 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:29.03 aq:18.93 tex:5027 mv:2998 misc:1447 imb:112 pmb:316 smb:1192 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.03 aq:19.70 tex:7314 mv:4211 misc:1603 imb:157 pmb:395 smb:1068 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.03 aq:20.35 tex:8533 mv:5474 misc:1649 imb:287 pmb:380 smb:953 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:19.94 tex:7238 mv:4840 misc:1538 imb:134 pmb:454 smb:1032 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:29.03 aq:20.09 tex:8272 mv:5017 misc:1687 imb:171 pmb:477 smb:972 d:- ref:0 ;
